,country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year,gdp_for_year ($),gdp_per_capita ($),generation,total_suicides_no,country_yearly_population,country_yearly_suicides
41,Brazil,2009,female,35-54 years,768,25523153,3.01,Brazil2009,,"1,667,019,780,934",9283,Boomers,97856,179569551,9346
42,Brazil,2009,female,55-74 years,301,12124076,2.48,Brazil2009,,"1,667,019,780,934",9283,Silent,97856,179569551,9346
43,Brazil,2009,female,25-34 years,351,16810330,2.09,Brazil2009,,"1,667,019,780,934",9283,Generation X,97856,179569551,9346
44,Brazil,2009,female,75+ years,58,2811556,2.06,Brazil2009,,"1,667,019,780,934",9283,Silent,97856,179569551,9346
45,Brazil,2009,female,15-24 years,343,17321655,1.98,Brazil2009,,"1,667,019,780,934",9283,Millenials,97856,179569551,9346
46,Brazil,2009,male,5-14 years,62,17421892,0.36,Brazil2009,,"1,667,019,780,934",9283,Generation Z,97856,179569551,9346
47,Brazil,2009,female,5-14 years,52,16772250,0.31,Brazil2009,,"1,667,019,780,934",9283,Generation Z,97856,179569551,9346
48,Brazil,2010,male,75+ years,358,1882113,19.02,Brazil2010,0.737,"2,208,871,646,203",12161,Silent,97856,181629712,9429
49,Brazil,2010,male,55-74 years,1236,10813388,11.43,Brazil2010,0.737,"2,208,871,646,203",12161,Silent,97856,181629712,9429
50,Brazil,2010,male,25-34 years,1832,17023785,10.76,Brazil2010,0.737,"2,208,871,646,203",12161,Generation X,97856,181629712,9429
51,Brazil,2010,male,35-54 years,2586,24501254,10.55,Brazil2010,0.737,"2,208,871,646,203",12161,Generation X,97856,181629712,9429
52,Brazil,2010,male,15-24 years,1288,17726866,7.27,Brazil2010,0.737,"2,208,871,646,203",12161,Millenials,97856,181629712,9429
53,Brazil,2010,female,35-54 years,835,26004856,3.21,Brazil2010,0.737,"2,208,871,646,203",12161,Generation X,97856,181629712,9429
54,Brazil,2010,female,55-74 years,339,12605588,2.69,Brazil2010,0.737,"2,208,871,646,203",12161,Silent,97856,181629712,9429
55,Brazil,2010,female,75+ years,79,2940677,2.69,Brazil2010,0.737,"2,208,871,646,203",12161,Silent,97856,181629712,9429
56,Brazil,2010,female,25-34 years,404,17054489,2.37,Brazil2010,0.737,"2,208,871,646,203",12161,Generation X,97856,181629712,9429
57,Brazil,2010,female,15-24 years,368,17237481,2.13,Brazil2010,0.737,"2,208,871,646,203",12161,Millenials,97856,181629712,9429
58,Brazil,2010,male,5-14 years,56,17242386,0.32,Brazil2010,0.737,"2,208,871,646,203",12161,Generation Z,97856,181629712,9429
59,Brazil,2010,female,5-14 years,48,16596829,0.29,Brazil2010,0.737,"2,208,871,646,203",12161,Generation Z,97856,181629712,9429
60,Brazil,2011,male,75+ years,352,2002447,17.58,Brazil2011,0.742,"2,616,201,578,192",14245,Silent,97856,183656441,9822
61,Brazil,2011,male,55-74 years,1323,11208705,11.8,Brazil2011,0.742,"2,616,201,578,192",14245,Boomers,97856,183656441,9822
62,Brazil,2011,male,25-34 years,1907,17249585,11.06,Brazil2011,0.742,"2,616,201,578,192",14245,Millenials,97856,183656441,9822
63,Brazil,2011,male,35-54 years,2754,24975171,11.03,Brazil2011,0.742,"2,616,201,578,192",14245,Generation X,97856,183656441,9822
64,Brazil,2011,male,15-24 years,1335,17674787,7.55,Brazil2011,0.742,"2,616,201,578,192",14245,Millenials,97856,183656441,9822
65,Brazil,2011,female,35-54 years,805,26488792,3.04,Brazil2011,0.742,"2,616,201,578,192",14245,Generation X,97856,183656441,9822
66,Brazil,2011,female,55-74 years,352,13063915,2.69,Brazil2011,0.742,"2,616,201,578,192",14245,Boomers,97856,183656441,9822
67,Brazil,2011,female,15-24 years,413,17180849,2.4,Brazil2011,0.742,"2,616,201,578,192",14245,Millenials,97856,183656441,9822
68,Brazil,2011,female,25-34 years,400,17253232,2.32,Brazil2011,0.742,"2,616,201,578,192",14245,Millenials,97856,183656441,9822
69,Brazil,2011,female,75+ years,71,3110432,2.28,Brazil2011,0.742,"2,616,201,578,192",14245,Silent,97856,183656441,9822
70,Brazil,2011,male,5-14 years,63,17044425,0.37,Brazil2011,0.742,"2,616,201,578,192",14245,Generation Z,97856,183656441,9822
71,Brazil,2011,female,5-14 years,47,16404101,0.29,Brazil2011,0.742,"2,616,201,578,192",14245,Generation Z,97856,183656441,9822
72,Brazil,2012,male,75+ years,376,2123165,17.71,Brazil2012,0.746,"2,465,188,674,415",13283,Silent,97856,185591215,10295
73,Brazil,2012,male,55-74 years,1458,11612925,12.55,Brazil2012,0.746,"2,465,188,674,415",13283,Boomers,97856,185591215,10295
74,Brazil,2012,male,35-54 years,2885,25463652,11.33,Brazil2012,0.746,"2,465,188,674,415",13283,Generation X,97856,185591215,10295
75,Brazil,2012,male,25-34 years,1930,17418954,11.08,Brazil2012,0.746,"2,465,188,674,415",13283,Millenials,97856,185591215,10295
76,Brazil,2012,male,15-24 years,1313,17644319,7.44,Brazil2012,0.746,"2,465,188,674,415",13283,Millenials,97856,185591215,10295
77,Brazil,2012,female,35-54 years,877,26979566,3.25,Brazil2012,0.746,"2,465,188,674,415",13283,Generation X,97856,185591215,10295
78,Brazil,2012,female,55-74 years,418,13532752,3.09,Brazil2012,0.746,"2,465,188,674,415",13283,Boomers,97856,185591215,10295
79,Brazil,2012,female,25-34 years,455,17398447,2.62,Brazil2012,0.746,"2,465,188,674,415",13283,Millenials,97856,185591215,10295
80,Brazil,2012,female,75+ years,80,3285641,2.43,Brazil2012,0.746,"2,465,188,674,415",13283,Silent,97856,185591215,10295
81,Brazil,2012,female,15-24 years,383,17145894,2.23,Brazil2012,0.746,"2,465,188,674,415",13283,Millenials,97856,185591215,10295
82,Brazil,2012,male,5-14 years,79,16810876,0.47,Brazil2012,0.746,"2,465,188,674,415",13283,Generation Z,97856,185591215,10295
83,Brazil,2012,female,5-14 years,41,16175024,0.25,Brazil2012,0.746,"2,465,188,674,415",13283,Generation Z,97856,185591215,10295
84,Brazil,2013,male,75+ years,370,2240434,16.51,Brazil2013,0.752,"2,472,806,919,902",13191,Silent,97856,187458852,10513
85,Brazil,2013,male,55-74 years,1474,12036068,12.25,Brazil2013,0.752,"2,472,806,919,902",13191,Boomers,97856,187458852,10513
86,Brazil,2013,male,35-54 years,3053,25965164,11.76,Brazil2013,0.752,"2,472,806,919,902",13191,Generation X,97856,187458852,10513
87,Brazil,2013,male,25-34 years,2004,17534209,11.43,Brazil2013,0.752,"2,472,806,919,902",13191,Millenials,97856,187458852,10513
88,Brazil,2013,male,15-24 years,1317,17627508,7.47,Brazil2013,0.752,"2,472,806,919,902",13191,Millenials,97856,187458852,10513
89,Brazil,2013,female,35-54 years,897,27475364,3.26,Brazil2013,0.752,"2,472,806,919,902",13191,Generation X,97856,187458852,10513
90,Brazil,2013,female,55-74 years,433,14022927,3.09,Brazil2013,0.752,"2,472,806,919,902",13191,Boomers,97856,187458852,10513
91,Brazil,2013,female,75+ years,88,3462431,2.54,Brazil2013,0.752,"2,472,806,919,902",13191,Silent,97856,187458852,10513
92,Brazil,2013,female,25-34 years,393,17492228,2.25,Brazil2013,0.752,"2,472,806,919,902",13191,Millenials,97856,187458852,10513
93,Brazil,2013,female,15-24 years,362,17123318,2.11,Brazil2013,0.752,"2,472,806,919,902",13191,Millenials,97856,187458852,10513
94,Brazil,2013,male,5-14 years,72,16555477,0.43,Brazil2013,0.752,"2,472,806,919,902",13191,Generation Z,97856,187458852,10513
95,Brazil,2013,female,5-14 years,50,15923724,0.31,Brazil2013,0.752,"2,472,806,919,902",13191,Generation Z,97856,187458852,10513
96,Brazil,2014,male,75+ years,390,2349303,16.6,Brazil2014,0.755,"2,455,993,625,159",12975,Silent,97856,189285554,10631
97,Brazil,2014,male,55-74 years,1534,12492114,12.28,Brazil2014,0.755,"2,455,993,625,159",12975,Boomers,97856,189285554,10631
98,Brazil,2014,male,35-54 years,3050,26475231,11.52,Brazil2014,0.755,"2,455,993,625,159",12975,Generation X,97856,189285554,10631
99,Brazil,2014,male,25-34 years,1982,17601477,11.26,Brazil2014,0.755,"2,455,993,625,159",12975,Millenials,97856,189285554,10631
100,Brazil,2014,male,15-24 years,1358,17606681,7.71,Brazil2014,0.755,"2,455,993,625,159",12975,Millenials,97856,189285554,10631
101,Brazil,2014,female,35-54 years,871,27971096,3.11,Brazil2014,0.755,"2,455,993,625,159",12975,Generation X,97856,189285554,10631
102,Brazil,2014,female,55-74 years,389,14550395,2.67,Brazil2014,0.755,"2,455,993,625,159",12975,Boomers,97856,189285554,10631
103,Brazil,2014,female,25-34 years,457,17539955,2.61,Brazil2014,0.755,"2,455,993,625,159",12975,Millenials,97856,189285554,10631
104,Brazil,2014,female,75+ years,83,3634999,2.28,Brazil2014,0.755,"2,455,993,625,159",12975,Silent,97856,189285554,10631
105,Brazil,2014,female,15-24 years,371,17094729,2.17,Brazil2014,0.755,"2,455,993,625,159",12975,Millenials,97856,189285554,10631
106,Brazil,2014,male,5-14 years,84,16299015,0.52,Brazil2014,0.755,"2,455,993,625,159",12975,Generation Z,97856,189285554,10631
107,Brazil,2014,female,5-14 years,62,15670559,0.4,Brazil2014,0.755,"2,455,993,625,159",12975,Generation Z,97856,189285554,10631
108,Brazil,2015,male,75+ years,470,2448560,19.19,Brazil2015,,"1,802,214,373,741",9431,Silent,97856,191087085,11163
109,Brazil,2015,male,55-74 years,1693,12987357,13.04,Brazil2015,,"1,802,214,373,741",9431,Boomers,97856,191087085,11163
110,Brazil,2015,male,35-54 years,3238,26989063,12.0,Brazil2015,,"1,802,214,373,741",9431,Generation X,97856,191087085,11163
111,Brazil,2015,male,25-34 years,1897,17625976,10.76,Brazil2015,,"1,802,214,373,741",9431,Millenials,97856,191087085,11163
112,Brazil,2015,male,15-24 years,1389,17569045,7.91,Brazil2015,,"1,802,214,373,741",9431,Millenials,97856,191087085,11163
113,Brazil,2015,female,35-54 years,910,28461855,3.2,Brazil2015,,"1,802,214,373,741",9431,Generation X,97856,191087085,11163
114,Brazil,2015,female,55-74 years,479,15122216,3.17,Brazil2015,,"1,802,214,373,741",9431,Boomers,97856,191087085,11163
115,Brazil,2015,female,25-34 years,466,17546090,2.66,Brazil2015,,"1,802,214,373,741",9431,Millenials,97856,191087085,11163
116,Brazil,2015,female,75+ years,89,3802086,2.34,Brazil2015,,"1,802,214,373,741",9431,Silent,97856,191087085,11163
117,Brazil,2015,female,15-24 years,397,17047218,2.33,Brazil2015,,"1,802,214,373,741",9431,Millenials,97856,191087085,11163
118,Brazil,2015,male,5-14 years,79,16057040,0.49,Brazil2015,,"1,802,214,373,741",9431,Generation Z,97856,191087085,11163
119,Brazil,2015,female,5-14 years,56,15430579,0.36,Brazil2015,,"1,802,214,373,741",9431,Generation Z,97856,191087085,11163
120,France,2006,male,75+ years,1272,1873693,67.89,France2006,,"2,318,593,651,988",40097,Silent,90413,57824447,10423
121,France,2006,male,35-54 years,3139,8448839,37.15,France2006,,"2,318,593,651,988",40097,Boomers,90413,57824447,10423
122,France,2006,male,55-74 years,1875,5745824,32.63,France2006,,"2,318,593,651,988",40097,Silent,90413,57824447,10423
123,France,2006,male,25-34 years,887,3953119,22.44,France2006,,"2,318,593,651,988",40097,Generation X,90413,57824447,10423
124,France,2006,female,75+ years,451,3282478,13.74,France2006,,"2,318,593,651,988",40097,Silent,90413,57824447,10423
125,France,2006,female,55-74 years,862,6363131,13.55,France2006,,"2,318,593,651,988",40097,Silent,90413,57824447,10423
126,France,2006,female,35-54 years,1130,8713240,12.97,France2006,,"2,318,593,651,988",40097,Boomers,90413,57824447,10423
127,France,2006,male,15-24 years,398,4014107,9.92,France2006,,"2,318,593,651,988",40097,Millenials,90413,57824447,10423
128,France,2006,female,25-34 years,255,3997748,6.38,France2006,,"2,318,593,651,988",40097,Generation X,90413,57824447,10423
129,France,2006,female,15-24 years,124,3915675,3.17,France2006,,"2,318,593,651,988",40097,Millenials,90413,57824447,10423
130,France,2006,male,5-14 years,22,3850817,0.57,France2006,,"2,318,593,651,988",40097,Millenials,90413,57824447,10423
131,France,2006,female,5-14 years,8,3665776,0.22,France2006,,"2,318,593,651,988",40097,Millenials,90413,57824447,10423
132,France,2007,male,75+ years,1315,1932659,68.04,France2007,,"2,657,213,249,384",45682,Silent,90413,58167011,10127
133,France,2007,male,35-54 years,3072,8475997,36.24,France2007,,"2,657,213,249,384",45682,Boomers,90413,58167011,10127
134,France,2007,male,55-74 years,1776,5859657,30.31,France2007,,"2,657,213,249,384",45682,Silent,90413,58167011,10127
135,France,2007,male,25-34 years,843,3926679,21.47,France2007,,"2,657,213,249,384",45682,Generation X,90413,58167011,10127
136,France,2007,female,75+ years,461,3367365,13.69,France2007,,"2,657,213,249,384",45682,Silent,90413,58167011,10127
137,France,2007,female,55-74 years,832,6461012,12.88,France2007,,"2,657,213,249,384",45682,Silent,90413,58167011,10127
138,France,2007,female,35-54 years,1091,8736539,12.49,France2007,,"2,657,213,249,384",45682,Boomers,90413,58167011,10127
139,France,2007,male,15-24 years,397,3998872,9.93,France2007,,"2,657,213,249,384",45682,Millenials,90413,58167011,10127
140,France,2007,female,25-34 years,204,3971637,5.14,France2007,,"2,657,213,249,384",45682,Generation X,90413,58167011,10127
141,France,2007,female,15-24 years,114,3893480,2.93,France2007,,"2,657,213,249,384",45682,Millenials,90413,58167011,10127
142,France,2007,male,5-14 years,16,3864992,0.41,France2007,,"2,657,213,249,384",45682,Generation Z,90413,58167011,10127
143,France,2007,female,5-14 years,6,3678122,0.16,France2007,,"2,657,213,249,384",45682,Generation Z,90413,58167011,10127
144,France,2008,male,75+ years,1346,1985275,67.8,France2008,,"2,918,382,891,460",49901,Silent,90413,58482967,10353
145,France,2008,male,35-54 years,3036,8513565,35.66,France2008,,"2,918,382,891,460",49901,Boomers,90413,58482967,10353
146,France,2008,male,55-74 years,1952,5974431,32.67,France2008,,"2,918,382,891,460",49901,Silent,90413,58482967,10353
147,France,2008,male,25-34 years,843,3876451,21.75,France2008,,"2,918,382,891,460",49901,Generation X,90413,58482967,10353
148,France,2008,female,75+ years,461,3430254,13.44,France2008,,"2,918,382,891,460",49901,Silent,90413,58482967,10353
149,France,2008,female,55-74 years,843,6570343,12.83,France2008,,"2,918,382,891,460",49901,Silent,90413,58482967,10353
150,France,2008,female,35-54 years,1105,8762552,12.61,France2008,,"2,918,382,891,460",49901,Boomers,90413,58482967,10353
151,France,2008,male,15-24 years,422,3971604,10.63,France2008,,"2,918,382,891,460",49901,Millenials,90413,58482967,10353
152,France,2008,female,25-34 years,211,3934713,5.36,France2008,,"2,918,382,891,460",49901,Generation X,90413,58482967,10353
153,France,2008,female,15-24 years,108,3865331,2.79,France2008,,"2,918,382,891,460",49901,Millenials,90413,58482967,10353
154,France,2008,male,5-14 years,20,3893417,0.51,France2008,,"2,918,382,891,460",49901,Generation Z,90413,58482967,10353
155,France,2008,female,5-14 years,6,3705031,0.16,France2008,,"2,918,382,891,460",49901,Generation Z,90413,58482967,10353
156,France,2009,male,75+ years,1351,2035007,66.39,France2009,,"2,690,222,283,968",45775,Silent,90413,58770727,10499
157,France,2009,male,35-54 years,3124,8526689,36.64,France2009,,"2,690,222,283,968",45775,Boomers,90413,58770727,10499
158,France,2009,male,55-74 years,2033,6081994,33.43,France2009,,"2,690,222,283,968",45775,Silent,90413,58770727,10499
159,France,2009,male,25-34 years,827,3838456,21.55,France2009,,"2,690,222,283,968",45775,Generation X,90413,58770727,10499
160,France,2009,female,75+ years,464,3487831,13.3,France2009,,"2,690,222,283,968",45775,Silent,90413,58770727,10499
161,France,2009,female,55-74 years,883,6675905,13.23,France2009,,"2,690,222,283,968",45775,Silent,90413,58770727,10499
162,France,2009,female,35-54 years,1039,8763692,11.86,France2009,,"2,690,222,283,968",45775,Boomers,90413,58770727,10499
163,France,2009,male,15-24 years,404,3953357,10.22,France2009,,"2,690,222,283,968",45775,Millenials,90413,58770727,10499
164,France,2009,female,25-34 years,215,3905999,5.5,France2009,,"2,690,222,283,968",45775,Generation X,90413,58770727,10499
165,France,2009,female,15-24 years,122,3843704,3.17,France2009,,"2,690,222,283,968",45775,Millenials,90413,58770727,10499
166,France,2009,male,5-14 years,26,3922145,0.66,France2009,,"2,690,222,283,968",45775,Generation Z,90413,58770727,10499
167,France,2009,female,5-14 years,11,3735948,0.29,France2009,,"2,690,222,283,968",45775,Generation Z,90413,58770727,10499
168,France,2010,male,75+ years,1354,2081818,65.04,France2010,0.8809999999999999,"2,642,609,548,930",44747,Silent,90413,59056283,10379
169,France,2010,male,35-54 years,3118,8518205,36.6,France2010,0.8809999999999999,"2,642,609,548,930",44747,Generation X,90413,59056283,10379
170,France,2010,male,55-74 years,1956,6187723,31.61,France2010,0.8809999999999999,"2,642,609,548,930",44747,Silent,90413,59056283,10379
171,France,2010,male,25-34 years,805,3829316,21.02,France2010,0.8809999999999999,"2,642,609,548,930",44747,Generation X,90413,59056283,10379
172,France,2010,female,75+ years,464,3538923,13.11,France2010,0.8809999999999999,"2,642,609,548,930",44747,Silent,90413,59056283,10379
173,France,2010,female,55-74 years,889,6785286,13.1,France2010,0.8809999999999999,"2,642,609,548,930",44747,Silent,90413,59056283,10379
174,France,2010,female,35-54 years,1074,8736585,12.29,France2010,0.8809999999999999,"2,642,609,548,930",44747,Generation X,90413,59056283,10379
175,France,2010,male,15-24 years,385,3937209,9.78,France2010,0.8809999999999999,"2,642,609,548,930",44747,Millenials,90413,59056283,10379
176,France,2010,female,25-34 years,177,3906931,4.53,France2010,0.8809999999999999,"2,642,609,548,930",44747,Generation X,90413,59056283,10379
177,France,2010,female,15-24 years,117,3823806,3.06,France2010,0.8809999999999999,"2,642,609,548,930",44747,Millenials,90413,59056283,10379
178,France,2010,male,5-14 years,23,3947453,0.58,France2010,0.8809999999999999,"2,642,609,548,930",44747,Generation Z,90413,59056283,10379
179,France,2010,female,5-14 years,17,3763028,0.45,France2010,0.8809999999999999,"2,642,609,548,930",44747,Generation Z,90413,59056283,10379
180,France,2011,male,75+ years,1423,2127014,66.9,France2011,0.884,"2,861,408,170,265",48217,Silent,90413,59344643,10408
181,France,2011,male,35-54 years,3151,8492211,37.1,France2011,0.884,"2,861,408,170,265",48217,Generation X,90413,59344643,10408
182,France,2011,male,55-74 years,2048,6298402,32.52,France2011,0.884,"2,861,408,170,265",48217,Boomers,90413,59344643,10408
183,France,2011,male,25-34 years,778,3844358,20.24,France2011,0.884,"2,861,408,170,265",48217,Millenials,90413,59344643,10408
184,France,2011,female,75+ years,453,3588632,12.62,France2011,0.884,"2,861,408,170,265",48217,Silent,90413,59344643,10408
185,France,2011,female,55-74 years,846,6902929,12.26,France2011,0.884,"2,861,408,170,265",48217,Boomers,90413,59344643,10408
186,France,2011,female,35-54 years,1011,8695673,11.63,France2011,0.884,"2,861,408,170,265",48217,Generation X,90413,59344643,10408
187,France,2011,male,15-24 years,367,3914976,9.37,France2011,0.884,"2,861,408,170,265",48217,Millenials,90413,59344643,10408
188,France,2011,female,25-34 years,171,3930109,4.35,France2011,0.884,"2,861,408,170,265",48217,Millenials,90413,59344643,10408
189,France,2011,female,15-24 years,124,3794959,3.27,France2011,0.884,"2,861,408,170,265",48217,Millenials,90413,59344643,10408
190,France,2011,male,5-14 years,23,3969371,0.58,France2011,0.884,"2,861,408,170,265",48217,Generation Z,90413,59344643,10408
191,France,2011,female,5-14 years,13,3786009,0.34,France2011,0.884,"2,861,408,170,265",48217,Generation Z,90413,59344643,10408
192,France,2012,male,75+ years,1415,2168819,65.24,France2012,0.8859999999999999,"2,683,825,225,093",45002,Silent,90413,59638457,9743
193,France,2012,male,35-54 years,2903,8465545,34.29,France2012,0.8859999999999999,"2,683,825,225,093",45002,Generation X,90413,59638457,9743
194,France,2012,male,55-74 years,1939,6408537,30.26,France2012,0.8859999999999999,"2,683,825,225,093",45002,Boomers,90413,59638457,9743
195,France,2012,male,25-34 years,688,3856840,17.84,France2012,0.8859999999999999,"2,683,825,225,093",45002,Millenials,90413,59638457,9743
196,France,2012,female,75+ years,459,3626173,12.66,France2012,0.8859999999999999,"2,683,825,225,093",45002,Silent,90413,59638457,9743
197,France,2012,female,55-74 years,767,7023009,10.92,France2012,0.8859999999999999,"2,683,825,225,093",45002,Boomers,90413,59638457,9743
198,France,2012,female,35-54 years,891,8655592,10.29,France2012,0.8859999999999999,"2,683,825,225,093",45002,Generation X,90413,59638457,9743
199,France,2012,male,15-24 years,359,3900107,9.2,France2012,0.8859999999999999,"2,683,825,225,093",45002,Millenials,90413,59638457,9743
200,France,2012,female,25-34 years,183,3948305,4.63,France2012,0.8859999999999999,"2,683,825,225,093",45002,Millenials,90413,59638457,9743
201,France,2012,female,15-24 years,106,3776265,2.81,France2012,0.8859999999999999,"2,683,825,225,093",45002,Millenials,90413,59638457,9743
202,France,2012,male,5-14 years,22,3995444,0.55,France2012,0.8859999999999999,"2,683,825,225,093",45002,Generation Z,90413,59638457,9743
203,France,2012,female,5-14 years,11,3813821,0.29,France2012,0.8859999999999999,"2,683,825,225,093",45002,Generation Z,90413,59638457,9743
204,France,2013,male,75+ years,1342,2201053,60.97,France2013,0.887,"2,811,077,725,704",46922,Silent,90413,59910069,9600
205,France,2013,male,35-54 years,2852,8444516,33.77,France2013,0.887,"2,811,077,725,704",46922,Generation X,90413,59910069,9600
206,France,2013,male,55-74 years,2003,6526578,30.69,France2013,0.887,"2,811,077,725,704",46922,Boomers,90413,59910069,9600
207,France,2013,male,25-34 years,700,3873724,18.07,France2013,0.887,"2,811,077,725,704",46922,Millenials,90413,59910069,9600
208,France,2013,female,75+ years,426,3642541,11.7,France2013,0.887,"2,811,077,725,704",46922,Silent,90413,59910069,9600
209,France,2013,female,55-74 years,816,7157766,11.4,France2013,0.887,"2,811,077,725,704",46922,Boomers,90413,59910069,9600
210,France,2013,female,35-54 years,846,8632938,9.8,France2013,0.887,"2,811,077,725,704",46922,Generation X,90413,59910069,9600
211,France,2013,male,15-24 years,310,3849077,8.05,France2013,0.887,"2,811,077,725,704",46922,Millenials,90413,59910069,9600
212,France,2013,female,25-34 years,160,3972053,4.03,France2013,0.887,"2,811,077,725,704",46922,Millenials,90413,59910069,9600
213,France,2013,female,15-24 years,116,3728182,3.11,France2013,0.887,"2,811,077,725,704",46922,Millenials,90413,59910069,9600
